target_deck_id,rank,peer_name,url,rank_score,rank_method,core_embed_sim,embed_sim,tfidf_cosine,combined_score,host_penalty,mention_penalty,incumbent_penalty,discovery_source,snippet_prefilter_score,from_cache,bmc_fields_filled,customer_segments,value_proposition,channels,customer_relationships,revenue_model,key_resources,key_activities,key_partners,cost_structure
Ageras,4,Siliconcanals,https://siliconcanals.com/ageras-group-raises-30m/,0.546,all-MiniLM-L6-v2,0.546,0.559,0.0282,0.0382,0.0,0.0,0.0,bmc_search:startups similar to Ageras Small and Medium-sized Enabling success for S,0.369,yes,6,,Experify connects prospective buyers to real purchasers in their community,,"authentic, scalable word-of-mouth experience",$4M (approximately €3.69M) in a Seed round of funding,platform for potential buyers to meet local brand owners and get honest reviews,"increasing its headcount, specifically on the sales and product engineering teams","Vertex Ventures US, Sonae Investment Management, Berkeley SkyDeck Fund",
Ageras,5,Dragonargent,https://www.dragonargent.com/startup-advisory-services-london,0.507,all-MiniLM-L6-v2,0.507,0.665,0.058,0.0872,0.0,0.0,0.0,bmc_search:Enabling success for SMEs through a startup company,0.449,yes,5,,"Incisive, inspirational strategic advice",,Long-term relationships,,Diverse wealth of experience in advisory team,"Providing unique, consultative support combining expertise across a range of professional disciplines",,Hands-on approach with rare and real coal-face experience to every aspect of the business
Audience Town,1,Speedeondata,https://speedeondata.com/mover-data/,0.594,all-MiniLM-L6-v2,0.594,0.602,0.0628,0.0703,0.0,0.0,0.0,bmc_search:Data management for Home movers startup,0.463,no,5,,New mover data and insights for targeted marketing,"Direct mail, email, social media",Personalized offers when people are primed to spend or switch providers,"$9,000 average spend during a move",,Data analytics and model building,,
Audience Town,2,Marketingtechginsights,https://marketingtechginsights.com/audience-town-launches-precision-advertising-for-home-builders/,0.584,all-MiniLM-L6-v2,0.584,0.769,0.1402,0.122,0.0,0.0,0.0,bmc_search:startups similar to audiencetown Home movers Consolidated ad platform fo,0.665,no,5,,Precision Advertising for Home Builders,"Connected TV, Digital Display, Streaming Audio, Geofencing, Meta Retargeting, Targeted Direct Mail",,Proprietary Whengine technology-based platform,"Whengine technology, Proprietary data signals analysis","Data-driven marketing strategies, Campaign execution, Attribution measurement",,
Audience Town,3,Eltoro,https://eltoro.com/digital-new-movers/,0.571,all-MiniLM-L6-v2,0.571,0.737,0.0662,0.0596,0.0,0.0,0.0,bmc_search:Home movers Consolidated ad platform focused on finding startup,0.534,no,6,,Target individuals who are in the process of moving or have just moved with digital ads,"Programmatic ads, direct mail, email, phone","Turn-key and fully programmatic, no need to upload mailing lists or personal data for targeting",,"Patented one-to-one targeting technology, IP mapping technology","Aggregating fresh data on individuals at three key stages of a move: Pre-Movers, New Movers, and Post-Movers","Offline new-mover data sources (real estate listing services, change-of-address records, utility connects)",
Audience Town,4,Entrepreneur,https://www.entrepreneur.com/,0.393,all-MiniLM-L6-v2,0.393,0.653,0.0436,0.0562,0.0,0.0,0.0,bmc_search:Home movers B2B startup official website,0.294,yes,5,,"Business news, advice, and resources for entrepreneurs","Website, social media, newsletters","Engage with readers through articles, webinars, and events","Advertising, sponsored content, affiliate marketing",,"Content creation, community building, event planning",,
Aura,1,Canopy,https://canopy.us/,0.516,all-MiniLM-L6-v2,0.516,0.469,0.062,0.0668,0.0,0.0,0.0,bmc_search:AI-powered protection for people & families startup,0.38,no,6,"Families, individuals",AI-powered content filter & parental control app,,Customizable online experience for each child,Subscription-based (monthly),"Patented AI technology, device-level filtering","Real-time filtering, AI image and video detection",,
Aura,2,Startup,https://startup.info/digital-threats-every-startup-founder-should-know-and-how-to-handle-them/,0.476,all-MiniLM-L6-v2,0.476,0.435,0.0469,0.0493,0.0,0.0,0.0,bmc_search:proactive protection against digital threats startup company,0.346,no,5,,Protect startup from digital threats through robust defense system,"Email, Cloud Technologies, Container Security Solution","Proactive mindset, Assess vulnerabilities, Implement survival strategies",,"Intellectual Property, Customer Data, Operational Infrastructure","Implementing security protocols, Employee training on security protocols, Regular software updates",,
Aura,3,Cybersecuritynews,https://cybersecuritynews.com/proactive-cybersecurity/,0.45,all-MiniLM-L6-v2,0.45,0.363,0.0323,0.0343,0.0,0.0,0.0,bmc_search:proactive protection against digital threats startup company,0.351,no,4,,Preventive approach to cybersecurity,"Linkedin, Naver, RSS, Twitter, Google News",,,"Predictive threat intelligence feeds, attack surface management (ASM), artificial intelligence [AI]-powered solutions","Real-time threat detection, risk-based vulnerability management, predictive threat intelligence feeds",,
Aura,4,Adaptivesecurity,https://www.adaptivesecurity.com/,0.381,all-MiniLM-L6-v2,0.381,0.443,0.046,0.0477,0.0,0.0,0.0,bmc_search:AI-powered protection for people & families startup,0.332,no,4,,Security Awareness Training Built for AI Threats,,,SaaS Integrations (100+),"AI content creator, OSINT email spearphishing",Customize any training in seconds with AI content creator,,
Aura,5,Mimecast,https://www.mimecast.com/get-a-quote/?utm_source=bing&utm_medium=ppc&utm_campaign=neur-hrm-growth-ctp-search&utm_content=1136896818351952&utm_term=Protect%20against%20zero-day&hstk_creative=&hstk_campaign=580831374&hstk_network=googleAds&msclkid=7f76aeb87f481264cc3dc48b83a2f960&utm_source=bing&utm_medium=cpc&utm_campaign=nceur-hrm-growth-ectp-search&utm_term=Protect%20against%20zero-day&utm_content=zero%20day,0.373,all-MiniLM-L6-v2,0.373,0.482,0.0502,0.0477,0.0,0.0,0.0,bmc_search:proactive protection against digital threats startup company,0.414,no,3,,"AI-powered platform protect humans, data, and AI - delivering up to 255x ROI for organizations.",,,Get a Customized Plan & Quote,"Decades of experience, global threat intelligence network, powerful AI",,,
Aura,6,Trendlife,https://trendlife.com/en-us,0.371,all-MiniLM-L6-v2,0.371,0.533,0.0878,0.0675,0.0,0.0,0.0,bmc_search:AI-powered protection for people & families startup,0.508,yes,3,,AI-powered life companion for families,,,Safeguard yourself and the whole family with AI-powered scam protection.,,,"Global Anti-Scam Alliance (GASA), Cifas",
Belgian Boys,1,Chefstandards,https://chefstandards.com/millennial-food-trends/,0.642,all-MiniLM-L6-v2,0.642,0.606,0.0242,0.0402,0.0,0.0,0.0,bmc_search:Millennial foodies quality standards and taste startup,0.502,no,2,Millennials,Unique foods that define a generation's palate,,,,,,,
Belgian Boys,2,Insights,https://insights.mdlzawayfromhome.com/foodies-for-thought-the-impact-of-millennial-foodie-culture,0.549,all-MiniLM-L6-v2,0.549,0.558,0.0428,0.0462,0.0,0.0,0.0,bmc_search:Millennial foodies quality standards and taste startup,0.453,yes,5,,Millennial foodies drive menu innovation and transform the food economy.,,,"Organic, functional, allergen-free and better-for-you food sales are projected to reach $1 trillion globally in 2017.","Direct-to-farmer relationships, own supply chains","Sourcing, distributing and selling local, sustainable and organic products",,"Importing organics at high prices due to industrial, chemically intensive agriculture"
Belgian Boys,3,Thehalogroup,https://www.thehalogroup.com/can-brand-resonate-millennial-foodies/,0.504,all-MiniLM-L6-v2,0.504,0.634,0.0584,0.0554,0.0,0.0,0.0,bmc_search:Merchandising multiple categories in stores for Millennial foodies start,0.38,no,5,,We help brands resonate with millennial foodies through marketing and advertising.,"Digital PR, Paid Search, Social Media, Direct Mail",Building personal connections with customers through targeted messaging.,"Agency services: marketing, advertising, public relations.",,Developing and executing marketing strategies for clients.,,
Belgian Boys,4,Growthbusiness,https://growthbusiness.co.uk/restaurant-success-millennials-17920/,0.446,all-MiniLM-L6-v2,0.446,0.613,0.0484,0.0467,0.0,0.0,0.0,bmc_search:Millennial foodies quality standards and taste startup,0.341,no,4,,Create restaurant concept that resonates with millennials,,,Millennials spend disposable income dining out,"High-quality, authentic ingredients; social media presence",Appeal to millennial values; get social with dishes; provide customisable menu,,
Belgian Boys,5,Bestpitchdeck,https://bestpitchdeck.com/,0.429,all-MiniLM-L6-v2,0.429,0.61,0.0201,0.0244,0.0,0.0,0.0,bmc_search:startups similar to belgianboys Millennial foodies quality standards and,0.269,yes,3,,Chef-crafted meals delivered to your door,,,B2C marketplace with over 200 meal options,,,"Speedinvest, DFF, Love Ventures, Rianta, angels from the Ventures Together Consortium",
Belgian Boys,6,Socialnature,https://www.socialnature.com/quick-and-easy-breakfast,0.393,all-MiniLM-L6-v2,0.393,0.637,0.0294,0.0429,0.0,0.0,0.0,bmc_search:startups similar to belgianboys Millennial foodies quality standards and,0.595,no,2,,"Quick, easy breakfast solutions for busy families",,,Affiliate marketing,,,,
Belgian Boys,7,Amazingfoodanddrink,https://amazingfoodanddrink.com/marketing-food-to-millennials/,0.304,all-MiniLM-L6-v2,0.304,0.72,0.0271,0.0313,0.0,0.0,0.0,bmc_search:Merchandising multiple categories in stores for Millennial foodies start,0.511,yes,5,,"Authenticity, sustainability, convenience","Social media, food blogs, mobile apps","Transparency, trust, loyalty",,"Sustainable sourcing methods, eco-friendly packaging","Innovative product launches, pop-up events",,
Belgian Boys,8,Edlong,https://www.edlong.com/matching-gold-standards/,0.263,all-MiniLM-L6-v2,0.263,0.538,0.0238,0.0354,0.0,0.0,0.0,bmc_search:quality standards and taste startup company,0.343,no,5,,Matching gold standards through sensory analysis,,,Sensory analysis services for food and beverage companies,"Expertise in sensory analysis, research chefs, and scientists","Conducting sensory analysis, developing new products",Circna (research partner),
Belgian Boys,9,Rocketreach,https://rocketreach.co/belgian-boys-email-format_b5894f83f62d4e9d,0.072,all-MiniLM-L6-v2,0.072,0.348,0.0293,0.04,0.0,0.0,0.0,bmc_search:belgianboys competitors,0.452,yes,4,,Digital coaching platform combining human and AI coaching for personalized leadership development,,,"$17.4 million in annual revenue, likely subscription-based or B2B services","AI Coach, ICF-certified human coaches, powerful analytics, customized learning programs","Building customized leadership development programs, providing coaching and analytics services",,
Bespoken_spirits,1,Alexanderjarvis,https://www.alexanderjarvis.com/bespoken-spirits-pitch-deck-to-raise-2-6m-seed-round/,0.772,all-MiniLM-L6-v2,0.772,0.707,0.1152,0.0981,0.0,0.0,0.0,bmc_search:startups similar to bespokenspirits Tailoring spirits for a desired,0.667,no,5,,"Precisely tailor spirits for aroma, color, and taste in just days using ACTivation technology.",,,$2.6m seed round,"Proprietary ACTivation technology, Menlo Park, California headquarters","Developing technology to precisely tailor spirits, disrupting global spirits industry","TJ Rodgers, Derek Jeter",
Bespoken_spirits,2,Chilledmagazine,https://chilledmagazine.com/bespoken-spirits-whiskey/,0.647,all-MiniLM-L6-v2,0.647,0.811,0.1193,0.1083,0.0,0.0,0.0,bmc_search:startups similar to bespokenspirits Tailoring spirits for a desired,0.463,no,5,,Next Generation of Whiskey Maturation with Bespoken Spirits,,,precise process called craft maturation,"proprietary technology, microstaves, activator","tailoring the aroma, color, and taste to exact specifications",Stu Aaron and Martin Janousek,
Bespoken_spirits,3,Cbrands,https://www.cbrands.com/,0.47,all-MiniLM-L6-v2,0.47,0.624,0.0284,0.058,0.0,0.0,0.0,bmc_search:Tailoring spirits for a desired outcome startup company,0.433,yes,3,,Build brands that people love,,,Deliver significant value creation for shareholders,"Iconic portfolio, industry-leading growth",,,
Bespoken_spirits,4,Highgrowth,https://highgrowth.scot/leiths-tailored-spirits-co-raises-a-glass-to-stelios-award-win/,0.47,all-MiniLM-L6-v2,0.47,0.69,0.0304,0.0351,0.0,0.0,0.0,bmc_search:Tailoring spirits for a desired outcome startup company,0.336,no,4,,Luxury private label Scotch whisky business with bespoke single cask Scotch whiskies,,,"£50,000 prize and £2.35m turnover in 2025","Private clients, premium brands, hospitality groups globally","Sourcing, designing, bottling bespoke single cask Scotch whiskies",,
Bespoken_spirits,5,Branding5,https://www.branding5.com/your-startup-your-story-consistent-branding-across-all-channels,0.451,all-MiniLM-L6-v2,0.451,0.631,0.0574,0.0557,0.0,0.0,0.0,competitor_search:Tailoring spirits for a desired outcome startup competitors,0.259,yes,5,,Crafting a consistent brand message to differentiate in a crowded market,"Website, social media, email marketing, customer service interactions",Building trust and loyalty through cohesive branding,"Investment potential, startup valuation",,"Aligning visuals, voice, and values across all channels",,
Bespoken_spirits,6,Johnsonbrothers,https://www.johnsonbrothers.com/,0.427,all-MiniLM-L6-v2,0.427,0.583,0.0508,0.0506,0.0,0.0,0.0,bmc_search:Tailoring spirits for a desired outcome startup company,0.474,yes,5,,"Tailored solutions, unparalleled service, innovative resources",,"Trusted partnerships, collaboration, transparency","Distribution, sales, marketing","Extensive network, industry insights, dedicated teams","Execution, strategic growth, market expertise",,
Bespoken_spirits,7,Startupfortune,https://startupfortune.com/bespoken-spirits-to-accelerate-whiskey-aging-in-days/,0.409,all-MiniLM-L6-v2,0.409,0.763,0.0639,0.0658,0.0,0.0,0.0,bmc_search:startups similar to bespokenspirits Tailoring spirits for a desired,0.439,no,4,,Accelerated whiskey aging in days using data analytics and materials science,,,Save customers years of time and up to 70% of their costs,"Patent-pending system, machine learning-based approach, Activation technology",Tailor spirits to meet customer specifications using data analytics and materials science,,
Bespoken_spirits,8,Bestpitchdeck,https://bestpitchdeck.com/bespoken-spirits,0.397,all-MiniLM-L6-v2,0.397,0.546,0.0187,0.0253,0.0,0.0,0.0,bmc_search:startups similar to bespokenspirits,0.544,yes,3,,Chef-crafted meals delivered to your door,,,B2C marketplace with over 200 meal options,,,"Speedinvest, DFF, Love Ventures, Rianta, angels from the Ventures Together Consortium",
Bespoken_spirits,9,Vins France,https://www.vins-france.ru/bespokenspirits,0.31,all-MiniLM-L6-v2,0.31,0.301,0.0219,0.0337,0.0,0.0,0.0,bmc_search:startups similar to bespokenspirits Tailoring spirits for a desired,0.237,yes,3,,Ускоренная технология производства виски за 72 часа,,,"Продажа виски по цене $25-30 за бутылку 0,75","Тысячи кусочков дерева размером с зубочистку, стальной резервуар",,,
Bespoken_spirits,10,Startupmalaysia,https://startupmalaysia.org/,0.253,all-MiniLM-L6-v2,0.253,0.5,0.0195,0.0294,0.0,0.0,0.0,competitor_search:companies like Tailoring spirits for a desired outcome startup,0.205,no,2,,"Effectual entrepreneurs use a non-linear, flexible approach to leverage existing resources and adapt to changing circumstances.",,,Creating Entrepreneurs of all types through Effectuation,,,,
Bigblue,1,Shipbob,https://www.shipbob.com/direct-to-consumer-fulfillment/,0.644,all-MiniLM-L6-v2,0.644,0.755,0.1017,0.0867,0.0,0.0,0.0,bmc_search:Fulfillment for customer-centric brands with branded startup company,0.485,no,4,,"Direct-to-consumer (D2C) brands offer lower prices, better policies, quality assurance, and community engagement.",,,Partner with a 3PL to help D2C brands grow faster by taking retail order fulfillment off their hands.,"Warehouse space, labor, and logistics capabilities","Fulfillment automation, 2-day shipping, faster delivery speeds",,
Bigblue,2,Tradly,https://tradly.app/difference-between-d2c-b2b-b2c-c2c-and-social-commerce,0.615,all-MiniLM-L6-v2,0.615,0.725,0.0579,0.0633,0.0,0.0,0.0,bmc_search:D2C brands B2B startup official website,0.489,no,5,,Direct to Consumer (D2C) brands sell products directly to customers without middlemen.,"Social media, Online storefronts, Partner portals",Transparent trade between brand and consumer,Selling products directly to consumers,,"Building a D2C store with Tradly, Launching social commerce",,
Bigblue,3,Youngurbanproject,https://www.youngurbanproject.com/d2c-marketing-strategies/,0.585,all-MiniLM-L6-v2,0.585,0.599,0.045,0.0668,0.0,0.0,0.0,bmc_search:Delivery operation management for D2C brands startup,0.52,no,2,,Direct to Customer (D2C) e-commerce model,,,"Subscription options, Recurring revenue",,,,
Bigblue,4,Explainerd,https://explainerd.com/video-marketing-ideas-for-d2c-startups/,0.55,all-MiniLM-L6-v2,0.55,0.581,0.0499,0.0598,0.0,0.0,0.0,bmc_search:Delivery operation management for D2C brands startup,0.519,no,5,,"Create engaging brand story, customer persona, and user-generated videos to promote products and increase brand awareness.","Social media, website, email marketing","Personalized videos for holiday greetings, offers, loyalty programs, and one-on-one customer interactions",,"Video creation equipment, software, and personnel","Creating high-quality video content, promoting on social media, engaging with customers",,
Bigblue,5,1800Dtc,https://1800dtc.com/d2c-dtc-brands,0.517,all-MiniLM-L6-v2,0.517,0.701,0.0474,0.0559,0.0,0.0,0.0,bmc_search:D2C brands B2B startup official website,0.48,no,4,,Direct-to-consumer business model,"Owned distribution channels, digital channels",Build direct relationships with customers through websites,Sell products and services directly to customers,,,,
Bigblue,6,Editorialge,https://editorialge.com/logistics-platforms-built-for-d2c-brands/,0.22,all-MiniLM-L6-v2,0.22,0.523,0.0336,0.0412,0.0,0.0,0.0,bmc_search:startups similar to bigblue D2C brands Fulfillment for customer-centric ,0.484,yes,4,,"AI-powered freight forwarding, blockchain-based transparency solutions",,,"Data-driven supply chain intelligence, IoT-powered shipment monitoring","Artificial intelligence, blockchain technology, Internet of Things (IoT)","Predicting demand, automating warehouse management, optimizing routes for deliveries",,
Blueocean,1,Competition,https://competition.adesignaward.com/gooddesign.php?ID=110819,0.58,all-MiniLM-L6-v2,0.58,0.644,0.0698,0.0602,0.0,0.0,0.0,bmc_search:blueocean competitors,0.527,yes,4,,Provide affordable access to market data for brand owners and marketers.,,,"Design Prize, Costs and Fees","Market data, Brand personality assessments, Content checks, Competitor benchmark analysis","Seamless visualization, Easy experience",,
Blueocean,2,Altitudemarketing,https://altitudemarketing.com/,0.523,all-MiniLM-L6-v2,0.523,0.646,0.084,0.0834,0.0,0.0,0.0,bmc_search:Enterprise marketing B2B startup official website,0.437,no,2,,Data-First B2B Marketing Agency that Gets Results,,,Full-Service B2B Marketing & Advertising,,,,
Blueocean,3,Sendigital,https://sendigital.us/miami-brand-tracking-best-practices-high-growth/,0.476,all-MiniLM-L6-v2,0.476,0.602,0.0433,0.0437,0.0,0.0,0.0,bmc_search:Always-on brand tracking startup company,0.525,no,4,,Understanding consumer perception is paramount for successful brand management.,"Surveys, focus groups, and social media analysis",Continuous monitoring of brand equity,,,Employing sophisticated methodologies,,
Blueocean,4,Marketing Interactive,https://www.marketing-interactive.com/tracksuit-secures-25m-series-b-to-fuel-global-brand-tracking-ambitions,0.405,all-MiniLM-L6-v2,0.405,0.736,0.0762,0.0753,0.0,0.0,0.0,bmc_search:Enterprise marketing Always-on brand tracking startup,0.439,no,3,,AI-powered brand health dashboard for real-time tracking,,,SaaS subscription-based model,,,"VMG Partners, Altos Ventures, Footwork, Blackbird and Icehouse Ventures",
Blueocean,5,Fpbundles,https://www.fpbundles.com/,0.346,all-MiniLM-L6-v2,0.346,0.606,0.0485,0.0542,0.0,0.0,0.0,bmc_search:Enterprise marketing B2B startup official website,0.448,yes,6,,Holistic Promotion Solutions for Results-Driven Growth!,"Website, SEO, SEM, SNS",Professional overseas promotion,Maximize B2B Revenue: Holistic Promotion Solutions,,"Website Development, Content Optimization, Keywords Ranking","Google, LinkedIn",
Blueocean,6,Startup,https://startup.info/why-most-startups-rebrand-after-series-a/,0.192,all-MiniLM-L6-v2,0.192,0.514,0.046,0.0477,0.0,0.0,0.0,bmc_search:Enterprise marketing Always-on brand tracking startup,0.286,yes,5,,Protect startup from digital threats through robust defense system,"Email, Cloud Technologies, Container Security Solution","Proactive mindset, Assess vulnerabilities, Implement survival strategies",,"Intellectual Property, Customer Data, Operational Infrastructure","Implementing security protocols, Employee training on security protocols, Regular software updates",,
Bower,1,Scandinavianmind,https://scandinavianmind.com/bower-800-000-kilogrammes-of-co2-saved-through-recycling-and-counting/,0.613,all-MiniLM-L6-v2,0.613,0.757,0.177,0.1537,0.0,0.0,0.0,bmc_search:consumers rewarding recycling at existing bins startup,0.466,yes,6,,"Rewards recycling with discounts, cash, and kudos","Mobile app, existing bins",Users can donate to charity or redeem rewards,Deposit value for scanned packaging,,"Scanning technology, geolocation technology, pre-scanning feature","Procter & Gamble, Unilever, L'Oréal",
Bower,2,En,https://en.reset.org/racoon-recycling-bin-separates-your-waste-and-distributes-rewards-06082021/,0.601,all-MiniLM-L6-v2,0.601,0.709,0.0901,0.0752,0.0,0.0,0.0,bmc_search:rewarding recycling at existing bins startup company,0.345,no,5,,Digital recycling bin that separates waste and hands out rewards,,,Points can be redeemed on the app for correct recycling,"Camera, algorithms, Raspberry Pi, Arduino, associated app","Sorting waste, providing feedback to users","CleanRobotics (similar technology), Rubicon Technologies (statistics)",
Bower,3,Climatechlist,https://climatechlist.com/bower,0.586,all-MiniLM-L6-v2,0.586,0.646,0.0744,0.0751,0.0,0.0,0.0,bmc_search:startups similar to Bower consumers rewarding recycling at existing bins,0.621,no,7,,Recycle and receive tangible benefits,"Mobile application, partnerships with recycling facilities",Rewards users for recycling efforts,Points or financial incentives for recycling,"Innovative tech, partnerships with entities like Swedish Packaging Collection Service",Facilitating recycling through mobile application and partnerships,"Swedish Packaging Collection Service, other recycling facilities",
Bower,4,Phygrid,https://phygrid.com/smart-recycling-bin/,0.523,all-MiniLM-L6-v2,0.523,0.612,0.0392,0.0509,0.0,0.0,0.0,bmc_search:consumers rewarding recycling at existing bins startup,0.486,yes,5,,Innovative recycling solutions with rewards and education,"Digital platform, loyalty programs, QR codes, mobile app","Loyalty program integration, digital signage education, QR code rewards","Subscription fees, advertising revenue",,"Developing and maintaining digital platform, integrating with loyalty programs",,
Bower,5,Recyclrewards,https://www.recyclrewards.com/,0.476,all-MiniLM-L6-v2,0.476,0.719,0.0759,0.0685,0.0,0.0,0.0,bmc_search:consumers rewarding recycling at existing bins startup,0.501,no,6,,Exclusive rewards for eco-friendly choices,"Participating dispensaries, website",Easy-to-join loyalty program,Points earned per empty packaging returned,"Smart recycling bins, digital rewards card","Collecting, picking up, and responsibly recycling waste",,
Bower,6,En,https://en.beierpm.com/pro2/?msclkid=4c3024e9538c15dccba24edd57b72a52&utm_source=bing&utm_medium=cpc&utm_campaign=%E6%AC%A7%E6%B4%B2_Plastic%20Recycling%20Machines_0729&utm_term=plastic%20recycling%20business&utm_content=Plastic%20Recycling%20System,0.461,all-MiniLM-L6-v2,0.461,0.469,0.0199,0.033,0.0,0.0,0.0,bmc_search:rewarding recycling at existing bins startup company,0.35,no,3,,Comprehensive Plastic Washing & Recycling Machine Supplier,,,"Plastic pelletizing / granules, comprehensive plastic recycling solutions","Parallel Twin Screw Extruder, Air-cooling Die-face Pelletizing Machine, Water-ring Die-face Pelletizing Machine, Under-water Pelletizing Machine, Strand Pelletizing Machine, Agglomeration Pelletizing Machine, Plastic Flake Pelletizing Machine",,,
Bower,7,Nextwhatbusiness,https://nextwhatbusiness.com/recycling-business-ideas/,0.453,all-MiniLM-L6-v2,0.453,0.608,0.0413,0.0413,0.0,0.0,0.0,bmc_search:rewarding recycling at existing bins startup company,0.387,no,4,,Turning waste materials into new products,,,Profitable recycling business ideas with eco-friendly aspect,"Minimal investment, e-waste, battery, cartridge refilling, computer parts","Recycling process, collecting and sorting waste materials",,
Bower,8,Udaan,https://udaan.com/,0.414,all-MiniLM-L6-v2,0.414,0.503,0.0247,0.0342,0.0,0.0,0.0,bmc_search:consumers B2B startup official website,0.288,yes,2,,"Order a wide range of high-quality products, trusted brands, and seamless delivery — all in one platform.",,,Wholesale Prices You’ll Love / Get exclusive wholesale rates across lakhs of products,,,,
