deck_id,customer_segments,value_proposition,channels,customer_relationships,revenue_model,key_resources,key_activities,key_partners,cost_structure
Calaxy,"Influencers, Creators",Decentralized tools for creating personal tokens to own and control connection with fans,"Calaxy app, Social media platforms",Creators control engagement & monetization with their communities,Token issuance by creators (15% of token balance),,"Development of decentralized tools, Token system development",,
Circular,,"Circular products made from recycled polycotton blends, competing with virgin producers on cost","Supply chain, brands, and retailers",,"Sell to brands supply chain, produce with partners, source from waste aggregators","Waste cotton waste (all colors & ratios), polycotton blends feedstock","Produce circular products, accept blended color polycottons, combine with high yields","LUXURY BRAND, ICONIC-AMERICAN DESIGNER BRAND, FASHION GROUP, SUSTAINABILITY BRAND, PATAGONIA",
Cowboy,"urban mobility, commuters across Europe and the US","e-bikes move people 2xfaster, e-bikes provide a psychological boost and meaningful workout, cleaner than cars","Direct-to-Consumer, Integrated App, Recurring Revenue","Theft insurance and Cowboy Care, maintenance Subscriptions, after-sales experience","Multi-revenue streams: bike sales, accessory sales, subscription services",,,"Hardware Club, Index Ventures, Tiger Global, Exor Seeds, Slam Capital, HCVC",
EQL,"Global brands, retailers, and customers seeking scarce goods","EQL's launch platform manages hype, ensuring fair launches and product availability","E-commerce platforms, social media, and online marketplaces","Fairness Union: retailers agree to run launches fairly, customers play by fair rules",,"Proprietary technology stack, custom domains, EQLizer algorithm","Launch platform management, hype infrastructure, analytics, automation","Insight Partners, Airtree Ventures",
Fluence,"Licensed therapists, physicians, psychologists, social workers, and coaches","Accessible, credentialed professional trainings online and in-person for psychedelic therapy and integration","Online classes and workshops, on-demand content, consultation services, therapist cohort training (clinical trials)","Community-based learning platform with synchronous and asynchronous tools, individualized feedback, patient referrals","$750K+ in sales, self-funded to date, currently pursuing seed financing","Licensed therapists, researchers, physicians with deep roots in psychedelic therapy and clinical trials","Protocol design and custom training modules for drug development companies, consultation services, therapist cohort training (clinical trials)",,"Self-funded to date, currently pursuing seed financing"
Hello Heart,"self-insured employers, health plans, PBMs","digital solution for heart health, medication management, personalized AI-driven app","health plans, PBMs, employer sales process",engagement through digital coaching and reminders,"$1,865 reduction in total medical costs per participant per year",,"AI development, app deployment, user engagement","Validation Institute, Noam Bardin (Waze), Eric Roza (Datalogix)",
HTEC,,"Delight,notjustdeliver. Where creativity meets deep engineering",,We deliver technology excellence while establishing strong bonds with our clients whom we treat as partners and peers,,"1200+ professionals, Talent acquisition dynamic, 80 Goal, 200 Morhyhes, Monhlyhres EOY2022",,,
Ibble,"Younger mobile users (18-40 years old), Global, North America",Reinventing social media to spark curiosity through public or private conversations,"Mobile-first platform, Video and audio content, Short-form video","Asynchronous conversation, Users connect and guide each other",,"Proprietary way to stream low-latency validation in real-time, Full ML system for video, audio, and news","Hyper-targeting people's interests through the platform, Encouraging exciting conversation","Content creators (celebrities), Advertisers, Google, YouTube, Instagram",
Influx,,Career development and growth opportunities,"Internal mobility, part-time projects, rotations, remote work","Manager-employee relationships, employee self-directed career paths",,"Work Genome platform, predictive intelligence",Connecting critical systems and data at key points in the employee life cycle,,
lottielab,,product animation platform for product teams,"web, mobile apps, and other digital products",collaborative editing tool for product teams,,,,,
Juro,"Companies, legal teams",Browser-native contract automation platform,"Integrated tools, browser-based editor","Collaborative workflow, data-rich repository","$xXm+ ARR, growing predictably and sustainably",,,"Seedcamp, Point Nine Capital, various angel investors",
Kryptomon,,"NFT blockchain based game with play-and-earn mechanics, where Pokemon meets Tamagotchi meets CryptoKitties","Social media channels (TG, Tw, FB, LI, Twitch, Discord, Medium), Strategic partnerships, PR, Paid Media, BTL & Guerilla marketing, Events",,Free-to-play model with optional purchase of Loot Boxes using $KMoN Coin,,,"Simplex, Tofu, Binance NFT, Poolz, BakerySwap","Legal (5.0%), Listing & Token Activities (15.0%), Game Development & HR Scaleup (50.0%), Marketing (30.0%)"
LiefergrŸn,"Electronics, Pharma, Fashion, Foodboxes","FAST, FLEXIBLE, SUSTAINABLE deliveries with real-time tracking and maximum flexibility",Microhubs distributed throughout the city for efficient tours and resource-saving way,Provide customers a parcel tracking experience they can plan with; Communicating on 1-hour time slot to provide maximum of flexibility,"$12.50 delivery fee, $2.50 compensation for zero-emission deliveries","Microhubs distributed throughout the city, cargo bikes or e-vans",Transforming logistics with sustainable cargo bikes or e-vans and microhubs,,
Lollipop,"Home cooks, busy professionals, health-conscious individuals","Personalized meal planning, speedy delivery, and a wide range of products","Mobile app, website, partnerships with grocery stores (e.g. Sainsbury's)","Companion app for recipe suggestions, AI-led assistant for meal planning",,"Partnerships with popular recipes sites, integration with grocery stores","Meal planning, delivery logistics, customer support","Sainsbury's, UK's most popular recipe site (BRAND PARTNER)",
Mojo,Professional and amateur athletes,Invest in an athlete's career with statistical performance-based payouts,"Mobile app, web platform","Build a portfolio, buy or sell shares",Payouts based on simple weighting of athlete's career performance,,,"Thrive Capital, Tiger Global, others",
Mysten Labs,,"Polaris web3 platform abstracts away all L1&L2 complexities, enabling developers to build, deploy, manage their web3 products.","Open networks, co-development with existing networks",,Components launched one by one with service/tokenization model built-in; token stakes in partner networks,"Polaris SDK, celo, Move, Narwal, Sommeller, native L1","Engineering work, integration with major L1, co-development with partners","Celo, Sommelier.finance, partner networks (e.g. L1's & L2's)",
Origin,"Premium travelers, Millennials & GenX",Personalized travel experience with ML/Al superpowered travel curators,"Mobile app, Online platform","High-touch service, Personalized support","Membership model, Unlimited service for shorter trips",,"Scaling Al services, Developing internal tool stack","Netflix, Google, Airbnb, Stitch Fix, Convey, Wealthfront, ETCIPTIGNALTRAVEL",
Ownwell,"Property owners, particularly those who are overassessed or underpaying on property taxes",Manage your largest asset like an investor; automate complex processes to extend access to traditional providers,Online solution for property owners to track their asset and expenses,"Personalized targeting using machine learning, to reach property owners who can save, and help them save more","$25% contingency fee when reducing taxes; Average Annual Property Savings: $1,457",,,,
Pilgrim Soul,,,,,Direct-to-Consumer (DTC) Sales,,,,"Highly variable cost structure due to outsourced cultivation and manufacturing, with potential for commoditization and reduced profit margins if not managed properly. In-house product development"
PlayPlay,,"Highest quality, Enterprise-ready video communication platform","TikTok, Loom, Hopin, wOOz, Social Media, Email","Internal Comms, Employees, Human Resources, Candidates, Support, Clients",,,,,
Scipher Medicine,"Autoimmune diseases, Oncology",Precision medicine platform using RNA analysis to predict patient response to therapy,Prism test pipeline developed in collaboration with payers and PBMs,,"Monetized through pharma partnerships, data monetization business","Proprietary Al/ML algorithms, largest patient data lake","Testing business drives creation of largest patient data lake, data analysis by spectra platform","Payers and PBMs, pharma and biotech partnerships",
Tive,High-value & time/temperature-sensitive shipments,"Track, monitor and take action on in-transit incidents before they escalate.",,Alert triggered and carrier notified. Load redirected to repair facility. Goods inspected and delivered to customer.,$14.4B TAH (Total Addressable Market),,,,
Tomo,"Millennials, Cash Rich, Stock Rich, Crypto Rich","TomoCard: Proven Asset (Cash, Stock, Crypto) with weekly auto-pay to build credit",,Private and Confidential,"$150,000,000 in 2022; $100,000,000 in 2021; 1000% Growth","Digital data, not FICO; Bank History; Crypto; Stocks; Data",,Bank,$75 CAC
Waterplan,,"Automates water risk quantification and mitigation opportunities, promoting sustainable operations.",,,,,,,
Experify,,Authentic opinions and honest conversations around products,"Experify.com, social media platforms (millions of users)",Securely connect with registered product owners for real authentic conversations,,"Talent from all over the world, offices in Zurich and Palo Alto",,"Vertex Ventures US (Lead), Berkeley SkyDeck Fund, Innosuisse & Swissnex network",
Mustard,,PERSONALLY ADAPTIVE PHYSICAL AND MENTAL TRAINING,"CONSUMER FREEMIUM APP (B2C), FOR COACHING ORGANIZATIONS (B2B2C)",,"$77.6B TOTAL ADDRESSABLE MARKET, $14.7B SPENT ANNUALLY ON MOBILE APP","SENSORLESS COMPUTER-VISION BASED MOTION IDENTIFICATION AND ANALYSIS SYSTEM, NATIONAL NETWORK OF ELITE ATHLETES, COACHES, AND PARTNERS",,"TOM HOUSE, JASON GOLDSMITH, ROCKY COLLIS, LUCAS COLLIS, CEVIN PRIHCE, MARILOU MCFARLANE",
Bigblue,D2C brands,Fulfillment for customer-centric brands with branded tracking experience and repeat business generation,"Bigblue app, website, and logistics network","Branded tracking experience, post-purchase marketing campaigns, and loyalty building","Per-delivery fee, storage, and volume-based discounts","Automated warehouses in France, Spain, and the UK, modern technologies, and logistics network","Delivery operation management, order preparation & shipping, and marketing campaigns",,
IMMO,"Residential sellers, renters, and investors","IMMO offers a simplified residential platform with proprietary technology and data to provide beautiful, sustainable homes and rental services.","Digital platform for homebuyers and renters, institutional investors, and asset managers","Direct relationship between IMMO and customers, with automated and simplified real estate service stack",,,,,"Not explicitly mentioned in the slides, but likely includes costs associated with technology development, marketing, and operational expenses"
Osso VR,,"Hands-on, collaborative, objective assessment","Medical device companies, hospitals, residency programs",Collaborative VR training between surgeon and company reps,,,,"Smith & Nephew, Stryker, Medtronic, etc.",
Playhouse,Real estate agents and consumers,"Entertainment-focused real estate app with video feed, music, and search functionality","Mobile app, TikTok, and potentially other social media platforms","Inbound requests from agents to list on Playhouse, potential for direct engagement",$17B market opportunity through buyer leads sold to agents,,,,
Bower,"consumers, brands","rewarding recycling at existing bins, easy to scale","smartphones, Bower app, geo-location technology","users rewarded for scanning packages, points redeemable for money or charity",deposit value retrieved when scanning in close proximity to GPS coordinate of recycling bin,,"combining existing bins with smartphones, patented geo-location technology","P&G, Mondelez, NESPRESSO, ANGLAMARK, SKIN, Dove, BJORN AXEN, Skogaholm, HIVEA",
Muck Rack,"Public Relations Professionals, Journalists, Content Creators","Integrated Platform with Data Feedback Loop, Highly Accurate First-Party Intelligence, Easy-to-Use Workflow Automation","Digital, Broadcast, Print, Podcasts, Newsletters, Social Media","Collaboration between PR Teams and Journalists, Personalized Outreach",,"Professional Network for Journalists, Highly Accurate Media Intelligence","Media Monitoring, Workflow Automation, Team Collaboration",,
Belgian Boys,"Millennial foodies, Modern mom, Guilty snack-lover","Indulgence, quality standards and taste, Premium ingredients, Convenient, individually-wrapped treats","Online retailers (e.g. Amazon), In-store presence, Partnerships with major digital retailers","Build relationships through brand partnerships and trial opportunities, Active responses to changing customer needs",,,"Merchandising multiple categories in stores, Building partnerships with major digital retailers","Drybar, jetBlue, popbar, snackmagic, Happy Sock, City Harvest, Consumer-Led Frontline Impact",
LoanWell,"Community Lenders, Small Businesses","Customizable End-to-End platform for lenders, Automated Loan Origination, Digitized Process","Online Platform, Custom Design",Long-term relationships with community lenders and small businesses,"$25k-$100k Annual Subscription Plan, $5k-$20K Integration Fee, $75K-$300K Customer LTV",,"Automated Loan Origination, Digitized Process, Customizable Platform","Acme Capital, Community Banks, Foundations (PRls & SociallmpactInvesting)",
