deck_id;n_slides ;startup_name;customer_segments;value_proposition;channels;customer_relationships;revenue_model;key_resources;key_activities;key_partners;cost_structure;;;;;;;;;;;;
12;12;Ageras;small and medium-sized businesses (SMEs), self-employed, accountants, bookkeepers;"marketplace connecting businesses with accountants and financial services; one platform for all accounting needs";;;;marketplace platform, accountant network, financial data;connect SMEs with accountants, bookkeeping services, financial services marketplace;;;;;;;;;;;;;;
13;8;AI Rudder;banks, financial institutions, enterprise call centers;"AI-powered voice assistants for customer service; human-like AI voice calls at scale";;;;AI/ML models, voice technology, language processing;voice AI outbound/inbound calls, customer service automation;;;;;;;;;;;;;;
14;9;Audience Town;real estate companies, consumer brands, home builders, mortgage lenders, real estate advertisers;"people-based advertising analytics platform for real estate; self-service advertising platform for the home";self-service ads platform;;;audience data, real estate consumer data, analytics platform;advertising analytics, audience targeting, campaign measurement for real estate;Toll Brothers, homie, Lennar, Sunrun, BEAR;;;;;;;;;;;;;
15;12;banxware;digital platforms, marketplaces, payment service providers, merchants on platforms;"embedded lending; enable platforms to offer revenue-based financing to their merchants";;;revenue-based financing fees, lending margin;lending technology, BaaS partner, SPV structure, risk models;embedded loan origination, underwriting, capital deployment to platform merchants;PAYONE, Lieferando / Just Eat Takeaway, PENTA, Ratepay, PPRO, Klarna, finleap;;;;;;;;;;;;;
16;12;Blueocean;brand analytics buyers, marketing teams, brand managers, enterprise companies;"automated always-on brand tracking; AI/ML-powered brand analytics platform; continuous competitive brand intelligence";;;;ML/AI platform, brand analytics models, Silicon Valley team;automated brand tracking, competitive intelligence, brand performance analytics;;;;;;;;;;;;;;
17;14;Calaxy;creators, influencers, fans;"open social marketplace for creators and fans; decentralized personal token economy; creator monetization platform";;;;blockchain/token infrastructure, creator platform, HBAR network;creator token issuance, fan club management, creator-fan transactions;Hedera Hashgraph (HBAR);;;;;;;;;;;;;
18;11;Circular;textile brands, fashion supply chain, waste aggregators, brands with textile waste;"patented technology to separate and recycle polycotton blends into Lyocell and Polyester; first industrial-scale solution";;;;patented separation technology, chemical process, textile recycling IP;collect polycotton waste, chemically separate fibers, produce Lyocell and Polyester, sell recycled fibers;waste aggregators, fashion brands' supply chains;;;;;;;;;;;;;
19;30;Cowboy;urban riders, commuters, e-bike users;"smart electric bike; power riders to map their own paths; connected urban mobility";;;;e-bike hardware, connected software, motor/battery technology;design and sell e-bikes, connected app features, urban mobility;;;;;;;;;;;;;;
20;16;EQL;global brands, sneaker brands, retailers doing limited drops;"hype commerce platform for scarce product releases; Run Fair® algorithm; power high-demand product launches";;;;Run Fair® algorithm, platform technology, 10 markets;manage high-heat product launches, fair balloting, demand capture, consumer protection;Courir, Foot Locker, Crocs, Culture Kings, Fast Times, Sullivans Cove, Insight Partners, Airtree Ventures;;;;;;;;;;;;;
21;21;Fluence;utilities, grid operators, renewable energy developers, industrial energy users;"energy storage technology and services; digital applications for energy storage optimization";;;;energy storage technology, battery systems, digital platform, Fluos software;design and deploy energy storage systems, optimize grid-scale storage, software-defined storage management;AES, Siemens;;;;;;;;;;;;;
22;10;Hello Heart;health plan members, employers, employees with hypertension, health plans;"digital program for heart health; personalized guidance to lower blood pressure; connected blood pressure monitor";;;;mobile app, connected blood pressure monitor, clinical algorithms, heart health content;track blood pressure, deliver heart health coaching, partner with health plans and employers;;;;;;;;;;;;;;
23;14;HTEC;technology companies, enterprises, R&D customers, software product companies;"technology and R&D services; software development and engineering services; innovation partner";;;service fees / R&D contracts;engineering talent, technology capabilities, offices across multiple locations;software development, product engineering, R&D services, team augmentation;;;;;;;;;;;;;;
24;21;Ibble;creators, photographers, visual content creators, social media users;"creator-first social platform; photographers and visual creators monetize their content; fair monetization for creators";;;;social platform, content infrastructure, creator tools;host and monetize visual content, creator community, content distribution;;;;;;;;;;;;;;
25;11;Influx;e-commerce businesses, SaaS companies, online businesses needing customer support;"on-demand customer support teams; 24/7 support agents as a service; flexible support staffing";;;per-agent or per-ticket pricing;trained support agents, support infrastructure, quality management;provide trained customer support agents, 24/7 support coverage, customer service operations;;;;;;;;;;;;;;
26;13;lottielab;developers, designers, animators, product managers;"world's easiest animation platform for product teams; end-to-end animation editing platform (Create, Collaborate, Deploy, Manage) — 5x faster than existing tools";;community building, Discord community, waitlist;;animation editing platform, Lottie format support, multiplayer collaboration, component/asset library;animation creation, team collaboration, deployment to iOS/Android/web, animation asset management;Webflow, Framer, Elementor;;;;;;;;;;;;;
27;15;Juro;legal teams, in-house counsel, operations teams, businesses managing contracts;"AI-native contract management platform; agree and manage contracts faster; collaborative contract workspace";;;;AI contract platform, legal technology, collaboration tools;contract creation, negotiation, signing, management, analytics;;;;;;;;;;;;;;
28;24;Kryptomon;gamers, NFT collectors, blockchain game players, play-to-earn users;"blockchain-based digital pets game; create, breed, train, and battle Kryptomons; play-to-earn NFT game";;;NFT sales, in-game transactions, token economy;blockchain infrastructure, NFT smart contracts, game engine, Kryptomon IP;"breed, train, and battle digital pets; NFT marketplace; play-to-earn mechanics";Binance Smart Chain;;;;;;;;;;;;;
29;10;Liefergrün;consumers ordering groceries, online grocery shoppers;"sustainable last-mile grocery delivery; eco-friendly grocery delivery";;;;delivery infrastructure, green logistics, rider network;last-mile grocery delivery, sustainable logistics operations;;;;;;;;;;;;;;
30;14;Lollipop;grocery shoppers, families, home cooks;"personalised meal planning and grocery shopping platform; meal plan + grocery basket in one place; companion app for meal inspiration and effortless grocery stock-up";;;;meal planning platform, grocery integration (Sainsbury's live stock 30K products), recipe content library, Pioneers community;personalised meal planning, grocery basket building, recipe inspiration, grocery delivery slot booking;Sainsbury's, BBC Good Food (goodfood);;;;;;;;;;;;;
31;11;Mojo;sports coaches, athletes, teams, sports content creators;"mobile video creation platform for sports; create professional-quality sports highlight videos easily";;;;mobile app, video templates, sports content tools;video creation, sports highlight production, template-based editing;;;;;;;;;;;;;;
32;10;Mysten Labs;developers, blockchain developers, web3 builders, enterprises;"high-performance blockchain infrastructure; Sui blockchain; Move programming language for web3 development";;;;Sui blockchain, Move language, core engineering team, blockchain infrastructure;develop and operate Sui blockchain, build Move language ecosystem, support web3 developers;;;;;;;;;;;;;;
33;12;Origin;DeFi users, crypto holders, DAOs, protocol treasuries;"Origin Dollar (OUSD) - yield-generating stablecoin; Origin Story NFT platform";;;yield from DeFi strategies, protocol fees;smart contracts, DeFi protocol integrations, stablecoin mechanism;yield generation through DeFi strategies, stablecoin minting and redemption, NFT marketplace;;;;;;;;;;;;;;
34;10;Ownwell;property owners, homeowners, real estate investors;"reduce your property taxes; protest and appeal property tax assessments on behalf of owners";;;contingency fee on tax savings;property tax data, appeal process expertise, local agents;analyze property assessments, file appeals, negotiate lower property taxes, handle entire appeal process;;;;;;;;;;;;;;
35;24;Pilgrim Soul;creative professionals, artists, musicians, innovators, creative class consumers;"cannabis for creativity; proprietary strains scientifically selected for creative enhancement; Exclusive Live Resin Blends";;;;proprietary cannabis strains, AbstraxTech science partnership, brand IP;identify and blend creativity-enhancing cannabis strains, produce and sell Creative Awareness/Imagination/Focus/Reflection blends;AbstraxTech;;;;;;;;;;;;;
36;9;PlayPlay;marketing teams, communications teams, brands, media companies;"video creation platform for non-video experts; create professional brand videos in minutes";;;;video creation platform, template library, brand asset tools;video content creation, brand video production, template-based video editing;;;;;;;;;;;;;;
37;23;Scipher Medicine;patients with autoimmune diseases, payers, PBMs, health plans, providers;"precision immunology; AI-powered diagnostics to predict response to anti-TNF therapies; PrismRA and PrismIBD tests; molecular diagnostics for autoimmune diseases";;;diagnostics testing fees (payer/PBM contracts), pharma partnerships, data monetization;AI/ML algorithms, molecular patient data lake (aims® platform), spectra® analysis platform, clinical lab;molecular diagnostics testing, patient data lake creation, pharma data partnerships, precision drug targeting;UnitedHealth Group, aMoon, Echo, Khosla Ventures, Optum, Northpond Ventures;;;;;;;;;;;;;
38;13;Tive;shippers, logistics companies, supply chain managers, enterprises shipping goods;"real-time shipment visibility; every shipment matters; live supply chain tracking with sensors";;;;IoT tracking hardware (Tive Solo trackers), cloud platform, sensor network;track shipments in real time, provide location and condition data, alert on shipment exceptions;;;;;;;;;;;;;;
39;10;Tomo;home buyers, mortgage borrowers;"faster and cheaper mortgage; transparent mortgage process; fix the broken homebuying experience";;;;mortgage technology, underwriting infrastructure, real estate agent network;mortgage origination, pre-approval, underwriting, closing coordination;real estate agents;;;;;;;;;;;;;
40;13;Waterplan;companies with operational sites, corporate sustainability teams, enterprises with water risk exposure, supply chain managers;"water resilience planning platform; quantify water risk and build corporate water resilience; accelerate transition to a water-secure world";;;;water data sources, risk modeling algorithms, CDP reporting alignment, platform technology;stressors sensing, water resilience planning, impact and accounting tracking, scenario modeling, automated reporting;Y Combinator;;;;;;;;;;;;;
41;9;Experify;online businesses and brands (e-commerce), consumers / shoppers;"real-life trust for online businesses; SaaS platform to connect customers for authentic product opinions; Experify Map + Messenger enabling real conversations between product owners and prospective buyers";embedded on participating brand websites (Experify Map), Experify Messenger;;SaaS;SaaS platform, Experify Map widget, Experify Messenger, user-generated content network;connect shoppers with product owners, enable authentic peer-to-peer product conversations, help brands build trust and increase conversion;Vertex Ventures US, SonaeIM, Berkeley SkyDeck Fund;;;;;;;;;;;;;
42;14;Mustard;youth athletes and sports families (B2C), coaching organizations (B2B2C), professional and collegiate sports teams;"personally adaptive physical and mental sports training; computer-vision based motion analysis and prescriptive coaching; making elite personalized coaching accessible to all";;;consumer freemium app (B2C), B2B2C for coaching organizations;proprietary AI/computer vision engine, biomechanics database (40 years of Tom House data), motion analysis algorithms, elite athlete and coach network;motion capture and analysis, prescriptive coaching delivery, coach enablement tools, mental training program development;Hawk-Eye Innovations;;;;;;;;;;;;;
43;13;Bigblue;D2C e-commerce brands, online merchants;"fulfillment for customer centric brands; SaaS-ified delivery with no fixed costs; Fast Tags (prime-like delivery badges), Delivery ETA at checkout, branded tracking experience, enterprise-grade logistics network";;branded tracking emails, loyalty-building delivery experience;per-delivery fee, storage (monthly per-item fees), volume-based discounts;automated warehouses in France, Spain, and the UK, logistics network, fulfilment technology platform;order fulfillment, warehousing, delivery operations, branded tracking experience, returns management;;;;;;;;;;;;;;
44;26;IMMO;home sellers (residential property owners), renters / residents, institutional investors seeking residential asset exposure;"bridges the gap in the residential value chain: iBuys homes directly from sellers, transforms them into beautiful sustainable homes, and rents to residents; unlocks single-unit residential asset exposure at scale for institutional investors";;"digital 21st century resident experience; tech-enabled service; branded high quality";;proprietary tech stack (risk-adjusted return model, automated sourcing engine, INSTA IMMO inspection app, automated underwriting, portfolio reporting), residential property portfolio;property acquisition (iBuy from home sellers), refurbishment and transformation, lettings / property management, portfolio reporting for investors;;property acquisition costs, refurbishment and furnishing costs, property management costs;;;;;;;;;;;;
45;12;Osso VR;surgical residents, orthopedic surgeons, medical device companies, hospitals and residency programs;"VR surgical training platform; hands-on procedural training in virtual reality before operating on patients; objective performance assessment";;;;VR surgical training platform, procedure library, hardware (VR headsets), performance assessment technology;develop and maintain surgical training simulations, partner with medical device companies for procedure content, deploy to hospitals and residency programs;Smith & Nephew, Stryker, Medtronic, Johnson & Johnson, Endologix, Zimmer Biomet, Rush University Medical Center, Johns Hopkins University, Hospital for Special Surgery;;;;;;;;;;;;;
46;11;Playhouse;home buyers / consumers browsing homes for sale, real estate agents;"mobile app to browse video listings of homes for sale; real estate app optimized for entertainment — full screen video feed, great music, real data enabling search and details";mobile app;;sell buyer leads to agents;video listing content, real estate data, TikTok-style video feed platform;curate and display video home listings, connect buyers with agents, lead generation for real estate agents;;;;;;;;;;;;;;
47;17;Bower;consumers / recyclers (end users), CPG brands and FMCG companies (paying customers);"recycle everything, reward yourself; #1 most downloaded recycling rewards app; rewards consumers for scanning and recycling packaging; provides CPG brands with recycling data and consumer insights";mobile app;;multiple revenue streams combining recycling with rewards and consumer insights;recycling rewards app, consumer recycling data, CPG brand partnership network;user acquisition and engagement, scanning and recycling tracking, brand campaign management, consumer insights delivery;Nestlé, Unilever, Coca-Cola, Mondelez, Orkla, P&G, Coop, Ellen MacArthur Foundation;;;;;;;;;;;;;
48;8;Muck Rack;PR professionals, communications teams, PR agencies, journalists / podcasters / content creators;"smarter PR with powerful, easy-to-use software; only fully integrated PRM (Public Relations Management) solution — discover journalists, send pitches, monitor coverage, collaborate, measure success";;free public profiles for journalists and podcasters;;media database, journalist profiles, pitch tools, media monitoring, analytics and reporting platform;media database maintenance, journalist profile management, PR campaign tools, monitoring and reporting;;;;;;;;;;;;;;
49;14;Belgian Boys;consumers buying specialty / Belgian-inspired food products at retail;"Belgian-inspired waffles, stroopwafels, cookie bars, crepes, cheesecake, and butter cakes; ""Turn Up The Happy""; 20 SKUs across 4 categories";retail shelves (3,000+ retail locations);;;Belgian-inspired food product recipes and brand, manufacturing, distribution to retail;product manufacturing, retail distribution, brand marketing;;;;;;;;;;;;;;
50;14;LoanWell;CDFIs (Community Development Financial Institutions), Loan Funds, Community Banks, Foundations (PRIs & Social Impact Investing), Credit Unions;"branded and customizable end-to-end automated loan origination platform for mission-driven lenders — intake, origination, underwriting, closing, servicing, and reporting; white-label front-end";;;$25K–$100K Annual Subscription Plan, $5K–$20K Integration Fee;loan origination platform, white-label technology, compliance and reporting tools;loan origination automation, underwriting, closing and servicing workflows, compliance reporting;;;;;;;;;;;;;;
